id,name
104161,ČRNUČE
803111,Čebelarska
803112,Čebelarska
103121,Čerinova
103122,Čerinova
737031,Črni Vrh nad Vrhovci
737032,Črni Vrh nad Vrhovci
716051,ŠENTJOŠT
515013,ŠKOFLJICA obr.
303041,ŠTEPANJSKO NAS.
303043,ŠTEPANJSKO NAS.
406011,Šemnikar
406012,Šemnikar
204151,Šentjakob
204152,Šentjakob
204153,Šentjakob
204154,Šentjakob
804041,Šentvid
804042,Šentvid
826131,Šinkov Turn
826132,Šinkov Turn
826141,Šinkov Turn hrib
826142,Šinkov Turn hrib
803016,Šišenska
515012,Škofljica
505011,Škofljica Javornik
505012,Škofljica Javornik
504101,Škofljica Petkovšek
504102,Škofljica Petkovšek
515011,Škofljica špica
504111,Škofljica žaga
504112,Škofljica žaga
104071,Šlandrova
104072,Šlandrova
505061,Šmarje
505062,Šmarje
104191,Šmartno
104192,Šmartno
104193,Šmartno pod Š.G.
104194,Šmartno pod Š.G.
203041,Šola Jarše
203042,Šola Jarše
203044,Šola Jarše
744011,Šolska
744012,Šolska
505031,Špilar
505032,Špilar
103182,Štajerska
403041,Štepanja vas
403042,Štepanja vas
403043,Štepanja vas
702021,Študentsko naselje
702022,Študentsko naselje
725021,Šujica
725022,Šujica
202061,Žale
202062,Žale
716031,Žažar
716032,Žažar
725061,Žirovnik
725062,Žirovnik
203151,Žito
203152,Žito
703121,Živalski vrt
703122,Živalski vrt
